symbol,date,fut_near_month_close,fut_far_month_close,strike_price,near_month_expiry,LTP_near_month,far_month_expiry,LTP_far_month
NIFTY,28-Aug-17,9950.8,9980.65,9800,28-Sep-17,226.45,26-Oct-17,293.6
NIFTY,29-Aug-17,9829.4,9860.15,9800,28-Sep-17,150.8,26-Oct-17,219.7
NIFTY,30-Aug-17,9912.45,9939.75,9800,28-Sep-17,191.2,26-Oct-17,259.7
NIFTY,31-Aug-17,9937.2,9963.35,9800,28-Sep-17,201.85,26-Oct-17,266.2
NIFTY,01-Sep-17,10007.3,10034.2,9800,28-Sep-17,251.5,26-Oct-17,312.3
NIFTY,04-Sep-17,9927.65,9955.75,9800,28-Sep-17,198.9,26-Oct-17,272.2
NIFTY,05-Sep-17,9971.6,9999.45,9800,28-Sep-17,227.5,26-Oct-17,296.75
NIFTY,06-Sep-17,9935.35,9966,9800,28-Sep-17,202.55,26-Oct-17,276.6
NIFTY,07-Sep-17,9954.7,9987,9800,28-Sep-17,211.65,26-Oct-17,289.8
NIFTY,08-Sep-17,9950,9981.85,9800,28-Sep-17,204.5,26-Oct-17,286.4
NIFTY,11-Sep-17,10025.9,10057.45,9800,28-Sep-17,254.95,26-Oct-17,329.85
NIFTY,12-Sep-17,10107.9,10137.05,9800,28-Sep-17,320.5,26-Oct-17,381.55
NIFTY,13-Sep-17,10091.45,10122.8,9800,28-Sep-17,305.75,26-Oct-17,370.55
NIFTY,14-Sep-17,10114.45,10144.85,9800,28-Sep-17,325.05,26-Oct-17,384.65
NIFTY,15-Sep-17,10101.95,10133.1,9800,28-Sep-17,311.85,26-Oct-17,377.05
NIFTY,18-Sep-17,10175.3,10206.8,9800,28-Sep-17,377.45,26-Oct-17,432.9
NIFTY,19-Sep-17,10168.85,10201.8,9800,28-Sep-17,370.75,26-Oct-17,427.2
NIFTY,20-Sep-17,10167.55,10201.25,9800,28-Sep-17,369.65,26-Oct-17,427.7
NIFTY,21-Sep-17,10138.85,10174.75,9800,28-Sep-17,340.8,26-Oct-17,404.05
